mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.014191198348999023,0.002823308783453461,0.011681032180786134,0.01200694328827432,0.01,0.01,rbf,"{'C': 0.01, 'gamma': 0.01, 'kernel': 'rbf'}",0.26136363636363635,0.26136363636363635,0.26136363636363635,0.26136363636363635,0.28735632183908044,0.2665621734587252,0.010397074190177635,12
0.009087848663330077,0.001961124519516788,0.01893153190612793,0.018549329410649913,0.01,0.1,rbf,"{'C': 0.01, 'gamma': 0.1, 'kernel': 'rbf'}",0.26136363636363635,0.26136363636363635,0.26136363636363635,0.26136363636363635,0.26436781609195403,0.26196447230929987,0.001201671891327072,14
0.011031913757324218,0.001977979442809838,0.011896467208862305,0.013733568158048673,0.01,1,rbf,"{'C': 0.01, 'gamma': 1, 'kernel': 'rbf'}",0.26136363636363635,0.26136363636363635,0.26136363636363635,0.26136363636363635,0.2988505747126437,0.2688610240334378,0.01499477533960294,10
0.014874887466430665,0.0025686761513187815,0.010957050323486327,0.012826014589094816,0.01,10,rbf,"{'C': 0.01, 'gamma': 10, 'kernel': 'rbf'}",0.26136363636363635,0.26136363636363635,0.26136363636363635,0.26136363636363635,0.26436781609195403,0.26196447230929987,0.001201671891327072,14
0.011475086212158203,0.002157669567850169,0.004730415344238281,0.001398116434423175,0.01,scale,rbf,"{'C': 0.01, 'gamma': 'scale', 'kernel': 'rbf'}",0.26136363636363635,0.26136363636363635,0.26136363636363635,0.26136363636363635,0.26436781609195403,0.26196447230929987,0.001201671891327072,14
0.009304618835449219,0.0008762072230256674,0.010203838348388672,0.01369695797532816,0.1,0.01,rbf,"{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}",0.26136363636363635,0.26136363636363635,0.25,0.26136363636363635,0.28735632183908044,0.2642894461859979,0.0123446353858442,13
0.009246158599853515,0.0023417360275998496,0.0039385795593261715,0.0006714936531586538,0.1,0.1,rbf,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}",0.26136363636363635,0.25,0.2840909090909091,0.2159090909090909,0.26436781609195403,0.25514629049111803,0.022483438379623202,18
0.008750200271606445,0.0016731067029899162,0.011394262313842773,0.014749860402908623,0.1,1,rbf,"{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}",0.26136363636363635,0.26136363636363635,0.26136363636363635,0.26136363636363635,0.2988505747126437,0.2688610240334378,0.01499477533960294,10
0.013158130645751952,0.0012074514301884424,0.005726766586303711,0.0012223144919106391,0.1,10,rbf,"{'C': 0.1, 'gamma': 10, 'kernel': 'rbf'}",0.26136363636363635,0.26136363636363635,0.26136363636363635,0.26136363636363635,0.26436781609195403,0.26196447230929987,0.001201671891327072,14
0.011439085006713867,0.003155529987568592,0.011277341842651367,0.013494410996988407,0.1,scale,rbf,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.23863636363636365,0.25,0.26136363636363635,0.20454545454545456,0.26436781609195403,0.24378265412748173,0.021621921080463073,20
0.010380268096923828,0.0023255388732289772,0.004187393188476563,0.0003980170185143552,1,0.01,rbf,"{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}",0.2840909090909091,0.23863636363636365,0.25,0.17045454545454544,0.28735632183908044,0.2461076280041797,0.04228130469952008,19
0.010014057159423828,0.0017219177863030618,0.0035575389862060546,0.0006936756268511513,1,0.1,rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",0.2840909090909091,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.3563218390804598,0.2917189132706374,0.032599913197861395,4
0.011700057983398437,0.0023517206082994137,0.003924322128295898,0.0002170985382680433,1,1,rbf,"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}",0.26136363636363635,0.2840909090909091,0.26136363636363635,0.3068181818181818,0.39080459770114945,0.3008881922675026,0.04801386154661899,1
0.011730527877807618,0.0017431602144378341,0.018585062026977538,0.026208038720235787,1,10,rbf,"{'C': 1, 'gamma': 10, 'kernel': 'rbf'}",0.2727272727272727,0.26136363636363635,0.26136363636363635,0.26136363636363635,0.2988505747126437,0.27113375130616507,0.014540474876950336,8
0.010680437088012695,0.002036245639751576,0.012284374237060547,0.01585490961243945,1,scale,rbf,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.3068181818181818,0.3409090909090909,0.25,0.20454545454545456,0.3563218390804598,0.2917189132706374,0.05685222799601966,4
0.010883855819702148,0.002756098064918986,0.010587549209594727,0.011998926062863582,10,0.01,rbf,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",0.3068181818181818,0.2727272727272727,0.26136363636363635,0.22727272727272727,0.2988505747126437,0.2734064785788924,0.02841674970929449,7
0.014680194854736327,0.002708513204192708,0.005440330505371094,0.0017925539999402447,10,0.1,rbf,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",0.25,0.2840909090909091,0.2727272727272727,0.3181818181818182,0.3793103448275862,0.30086206896551726,0.044975313942221824,2
0.012043142318725586,0.0017986343091460208,0.004894828796386719,0.0006620014365033753,10,1,rbf,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",0.26136363636363635,0.26136363636363635,0.26136363636363635,0.29545454545454547,0.367816091954023,0.28947230929989554,0.04133721788577439,6
0.01818227767944336,0.0036826193679924757,0.014824438095092773,0.014944625562777892,10,10,rbf,"{'C': 10, 'gamma': 10, 'kernel': 'rbf'}",0.2727272727272727,0.26136363636363635,0.26136363636363635,0.26136363636363635,0.2988505747126437,0.27113375130616507,0.014540474876950336,8
0.018639469146728517,0.0049207081185324315,0.01183767318725586,0.01376989342899019,10,scale,rbf,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.25,0.3409090909090909,0.2727272727272727,0.3181818181818182,0.2988505747126437,0.2961337513061651,0.03216991037592686,3
